Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Peptide Antigen Assembly With MHC Protein Complex (GO:0002501),7/18,2.221355552141417e-11,2.2124701299328508e-08,0,0,94.25780189959296,2312.1738926886605,PDIA3;HLA-DMA;HLA-DMB;HLA-DOB;HLA-DQA1;HLA-DRB1;HLA-DPA1
GO_Biological_Process_2023,Antigen Receptor-Mediated Signaling Pathway (GO:0050851),12/134,1.8984186783706652e-10,7.873011030111585e-08,0,0,15.049180327868852,336.87333823484374,CD79B;LAT2;CD79A;ZAP70;PRKCB;CD19;BTK;BLNK;CD247;MS4A1;HLA-DRB1;HLA-DPA1
GO_Biological_Process_2023,MHC Class II Protein Complex Assembly (GO:0002399),6/14,3.1618518193219207e-10,7.873011030111585e-08,0,0,110.28333333333332,2412.414065772167,HLA-DMA;HLA-DMB;HLA-DOB;HLA-DQA1;HLA-DRB1;HLA-DPA1
GO_Biological_Process_2023,Peptide Antigen Assembly With MHC Class II Protein Complex (GO:0002503),6/14,3.1618518193219207e-10,7.873011030111585e-08,0,0,110.28333333333332,2412.414065772167,HLA-DMA;HLA-DMB;HLA-DOB;HLA-DQA1;HLA-DRB1;HLA-DPA1
GO_Biological_Process_2023,Regulation Of T Cell Activation (GO:0050863),9/62,4.91222533530907e-10,9.785152867935666e-08,0,0,25.47941680960549,546.1289759227717,CD2;HLA-DMA;HLA-DMB;CCL5;TIGIT;HLA-DOB;HLA-DQA1;HLA-DRB1;HLA-DPA1
GO_Biological_Process_2023,B Cell Activation (GO:0042113),10/92,9.686768815200118e-10,1.4793865712659629e-07,0,0,18.410910444982317,382.1201035483175,FCRLA;LAT2;CD79B;ZAP70;CD79A;PRKCB;GPR183;BLNK;BTK;MS4A1
GO_Biological_Process_2023,B Cell Receptor Signaling Pathway (GO:0050853),8/46,1.039729517958006e-09,1.4793865712659629e-07,0,0,31.37475267115156,648.9649609699821,CD79B;LAT2;CD79A;PRKCB;CD19;BLNK;BTK;MS4A1
GO_Biological_Process_2023,Immunoglobulin Mediated Immune Response (GO:0016064),7/30,1.3243669477689255e-09,1.6488368499723127e-07,0,0,45.05256327060351,920.979422802808,HLA-DMA;HLA-DMB;CD19;HLA-DOB;HLA-DQA1;HLA-DRB1;HLA-DPA1
GO_Biological_Process_2023,Immunoglobulin Production Involved In Immunoglobulin-Mediated Immune Response (GO:0002381),6/19,2.775189421925606e-09,3.071209626931004e-07,0,0,67.84957264957265,1336.8093826542524,HLA-DMA;HLA-DMB;HLA-DOB;HLA-DQA1;HLA-DRB1;HLA-DPA1
GO_Biological_Process_2023,Antigen Processing And Presentation Of Exogenous Peptide Antigen Via MHC Class II (GO:0019886),6/26,2.2613394469570732e-08,2.2522940891692445e-06,0,0,44.086666666666666,776.1335736431143,HLA-DMA;HLA-DMB;HLA-DOB;HLA-DQA1;HLA-DRB1;HLA-DPA1
GO_Biological_Process_2023,Antigen Processing And Presentation Of Peptide Antigen Via MHC Class II (GO:0002495),6/28,3.657763949635511e-08,3.3119389943972447e-06,0,0,40.07474747474748,686.2331119938012,HLA-DMA;HLA-DMB;HLA-DOB;HLA-DQA1;HLA-DRB1;HLA-DPA1
GO_Biological_Process_2023,Antigen Processing And Presentation Of Exogenous Peptide Antigen (GO:0002478),6/31,7.025440696074106e-08,5.831115777741509e-06,0,0,35.260444444444445,580.7798155711348,HLA-DMA;HLA-DMB;HLA-DOB;HLA-DQA1;HLA-DRB1;HLA-DPA1
GO_Biological_Process_2023,Positive Regulation Of Leukocyte Cell-Cell Adhesion (GO:1903039),6/44,6.247433854234035e-07,4.7864954760131525e-05,0,0,23.18245614035088,331.1828263717921,HLA-DMA;HLA-DMB;HLA-DOB;HLA-DQA1;HLA-DRB1;HLA-DPA1
GO_Biological_Process_2023,Positive Regulation Of T Cell Activation (GO:0050870),8/107,9.053442771540566e-07,6.201451497942592e-05,0,0,12.005772005772004,167.05972376098637,ZAP70;HLA-DMA;HLA-DMB;CCL5;HLA-DOB;HLA-DQA1;HLA-DRB1;HLA-DPA1
GO_Biological_Process_2023,Positive Regulation Of Lymphocyte Activation (GO:0051251),6/47,9.33953538846776e-07,6.201451497942592e-05,0,0,21.48292682926829,298.2655004448295,HLA-DMA;HLA-DMB;HLA-DOB;HLA-DQA1;HLA-DRB1;HLA-DPA1
GO_Biological_Process_2023,Positive Regulation Of Lymphocyte Chemotaxis (GO:0140131),4/17,5.2456830387120406e-06,0.00032654376915982453,0,0,44.57271195957328,541.9197165054827,CCL5;CCL4;XCL2;XCL1
GO_Biological_Process_2023,Regulation Of Natural Killer Cell Chemotaxis (GO:2000501),3/6,6.7542743577006e-06,0.0003711962726564811,0,0,143.8840579710145,1712.9879135075962,CCL5;CCL4;XCL1
GO_Biological_Process_2023,Inflammatory Response (GO:0006954),10/236,6.9259158942418e-06,0.0003711962726564811,0,0,6.631426062284672,78.78293485679177,CD96;NCR3;CCL5;CCL4;BLNK;XCL2;XCL1;TNFRSF4;PTGDR;KLRG1
GO_Biological_Process_2023,Cellular Response To Type II Interferon (GO:0071346),6/66,7.081053394049339e-06,0.0003711962726564811,0,0,14.665925925925926,173.9098384250861,CCL5;CCL4;XCL2;IRF8;XCL1;HLA-DPA1
GO_Biological_Process_2023,Lymphocyte Migration (GO:0072676),5/41,9.909087920863106e-06,0.0004934725784589827,0,0,20.24407679738562,233.2534320789308,ZAP70;CCL5;CCL4;XCL2;XCL1
GO_Biological_Process_2023,Positive Regulation Of Lymphocyte Proliferation (GO:0050671),6/74,1.3785868403210213e-05,0.0006391763382969151,0,0,12.93529411764706,144.7700851516825,FCGR3A;HLA-DMB;CCL5;GPR183;TNFRSF4;HLA-DPA1
GO_Biological_Process_2023,Lymphocyte Chemotaxis (GO:0048247),5/44,1.4118352853947923e-05,0.0006391763382969151,0,0,18.684012066365007,208.6637004380067,CCL5;GPR183;CCL4;XCL2;XCL1
GO_Biological_Process_2023,Natural Killer Cell Mediated Immunity (GO:0002228),4/22,1.5687146703400117e-05,0.0006793216572428919,0,0,32.183292781832925,356.033110941443,CD2;FCGR3A;GZMB;NKG7
GO_Biological_Process_2023,Response To Type II Interferon (GO:0034341),6/80,2.160156171896145e-05,0.0008314566222105873,0,0,11.882882882882884,127.6547800112328,CCL5;CCL4;XCL2;IRF8;XCL1;HLA-DPA1
GO_Biological_Process_2023,Eosinophil Chemotaxis (GO:0048245),4/24,2.253948674667255e-05,0.0008314566222105873,0,0,28.96204379562044,309.9008722258506,CCL5;CCL4;XCL2;XCL1
